shipment_id,risk_category,recommended_action
SHP000001,Medium,Monitor shipment closely
SHP000002,Medium,Monitor shipment closely
SHP000004,Medium,Monitor shipment closely
SHP000005,Medium,Monitor shipment closely
SHP000006,Medium,Monitor shipment closely
SHP000007,Medium,Monitor shipment closely
SHP000008,Medium,Monitor shipment closely
SHP000009,Medium,Monitor shipment closely
SHP000010,Medium,Monitor shipment closely
SHP000011,Medium,Monitor shipment closely
SHP000012,Medium,Monitor shipment closely
SHP000013,Medium,Monitor shipment closely
SHP000014,Medium,Monitor shipment closely
SHP000015,Medium,Monitor shipment closely
SHP000016,Medium,Monitor shipment closely
SHP000017,Medium,Monitor shipment closely
SHP000018,Medium,Monitor shipment closely
SHP000019,Medium,Monitor shipment closely
SHP000020,Medium,Monitor shipment closely
SHP000021,Medium,Monitor shipment closely
SHP000022,Medium,Monitor shipment closely
SHP000023,Medium,Monitor shipment closely
SHP000024,Medium,Monitor shipment closely
SHP000025,Medium,Monitor shipment closely
SHP000026,Medium,Monitor shipment closely
SHP000027,Medium,Monitor shipment closely
SHP000028,Medium,Monitor shipment closely
SHP000030,Medium,Monitor shipment closely
SHP000031,Medium,Monitor shipment closely
SHP000032,Medium,Monitor shipment closely
SHP000033,Medium,Monitor shipment closely
SHP000034,Medium,Monitor shipment closely
SHP000035,Medium,Monitor shipment closely
SHP000036,Medium,Monitor shipment closely
SHP000037,Medium,Monitor shipment closely
SHP000038,Medium,Monitor shipment closely
SHP000039,Medium,Monitor shipment closely
SHP000040,Medium,Monitor shipment closely
SHP000041,Medium,Monitor shipment closely
SHP000042,Medium,Monitor shipment closely
SHP000043,Medium,Monitor shipment closely
SHP000044,Medium,Monitor shipment closely
SHP000045,Medium,Monitor shipment closely
SHP000046,Medium,Monitor shipment closely
SHP000047,Medium,Monitor shipment closely
SHP000048,Medium,Monitor shipment closely
SHP000049,Medium,Monitor shipment closely
SHP000050,Medium,Monitor shipment closely
SHP000051,Medium,Monitor shipment closely
SHP000052,Medium,Monitor shipment closely
SHP000053,Medium,Monitor shipment closely
SHP000054,Medium,Monitor shipment closely
SHP000055,Medium,Monitor shipment closely
SHP000056,Medium,Monitor shipment closely
SHP000057,Medium,Monitor shipment closely
SHP000058,Medium,Monitor shipment closely
SHP000059,Medium,Monitor shipment closely
SHP000060,Medium,Monitor shipment closely
SHP000061,Medium,Monitor shipment closely
SHP000062,Medium,Monitor shipment closely
SHP000063,Medium,Monitor shipment closely
SHP000064,Medium,Monitor shipment closely
SHP000065,Medium,Monitor shipment closely
SHP000066,Medium,Monitor shipment closely
SHP000067,Medium,Monitor shipment closely
SHP000068,Medium,Monitor shipment closely
SHP000069,Medium,Monitor shipment closely
SHP000070,Medium,Monitor shipment closely
SHP000071,Medium,Monitor shipment closely
SHP000072,Medium,Monitor shipment closely
SHP000075,Medium,Monitor shipment closely
SHP000076,Medium,Monitor shipment closely
SHP000077,Medium,Monitor shipment closely
SHP000078,Medium,Monitor shipment closely
SHP000079,Medium,Monitor shipment closely
SHP000080,Medium,Monitor shipment closely
SHP000081,Medium,Monitor shipment closely
SHP000082,Medium,Monitor shipment closely
SHP000083,Medium,Monitor shipment closely
SHP000084,Medium,Monitor shipment closely
SHP000086,Medium,Monitor shipment closely
SHP000087,Medium,Monitor shipment closely
SHP000089,Medium,Monitor shipment closely
SHP000090,Medium,Monitor shipment closely
SHP000091,Medium,Monitor shipment closely
SHP000092,Medium,Monitor shipment closely
SHP000093,Medium,Monitor shipment closely
SHP000094,Medium,Monitor shipment closely
SHP000095,Medium,Monitor shipment closely
SHP000096,Medium,Monitor shipment closely
SHP000097,Medium,Monitor shipment closely
SHP000098,Medium,Monitor shipment closely
SHP000099,Medium,Monitor shipment closely
SHP000101,Medium,Monitor shipment closely
SHP000102,Medium,Monitor shipment closely
SHP000103,Medium,Monitor shipment closely
SHP000104,Medium,Monitor shipment closely
SHP000105,Medium,Monitor shipment closely
SHP000106,Medium,Monitor shipment closely
SHP000107,Medium,Monitor shipment closely
SHP000108,Medium,Monitor shipment closely
SHP000109,Medium,Monitor shipment closely
SHP000110,Medium,Monitor shipment closely
SHP000111,Medium,Monitor shipment closely
SHP000112,Medium,Monitor shipment closely
SHP000113,Medium,Monitor shipment closely
SHP000114,Medium,Monitor shipment closely
SHP000115,Medium,Monitor shipment closely
SHP000116,Medium,Monitor shipment closely
SHP000117,Medium,Monitor shipment closely
SHP000118,Medium,Monitor shipment closely
SHP000119,Medium,Monitor shipment closely
SHP000120,Medium,Monitor shipment closely
SHP000121,Medium,Monitor shipment closely
SHP000122,Medium,Monitor shipment closely
SHP000123,Medium,Monitor shipment closely
SHP000124,Medium,Monitor shipment closely
SHP000126,Medium,Monitor shipment closely
SHP000127,Medium,Monitor shipment closely
SHP000128,Medium,Monitor shipment closely
SHP000130,Medium,Monitor shipment closely
SHP000131,Medium,Monitor shipment closely
SHP000132,Medium,Monitor shipment closely
SHP000133,Medium,Monitor shipment closely
SHP000134,Medium,Monitor shipment closely
SHP000135,Medium,Monitor shipment closely
SHP000136,Medium,Monitor shipment closely
SHP000137,Medium,Monitor shipment closely
SHP000138,Medium,Monitor shipment closely
SHP000139,Medium,Monitor shipment closely
SHP000140,Medium,Monitor shipment closely
SHP000141,Medium,Monitor shipment closely
SHP000142,Medium,Monitor shipment closely
SHP000143,Medium,Monitor shipment closely
SHP000144,Medium,Monitor shipment closely
